arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m75_n125_s364.txt,0.1,75,125,TIMEOUT,12,52824312,25358739,11.98,1800.0005
rand_d0.1_m75_n125_s365.txt,0.1,75,125,TIMEOUT,12,54310002,26265323,11.98,1800.00529
rand_d0.1_m75_n125_s366.txt,0.1,75,125,OPTIMAL,10,17713353,8774776,11.98,561.249889
rand_d0.1_m75_n125_s367.txt,0.1,75,125,TIMEOUT,12,49689228,24253270,11.98,1800.001492
rand_d0.1_m75_n125_s368.txt,0.1,75,125,OPTIMAL,11,40740241,20112658,11.98,1467.64323
rand_d0.1_m75_n125_s369.txt,0.1,75,125,TIMEOUT,11,51665909,25606610,11.98,1800.000078
rand_d0.1_m75_n125_s370.txt,0.1,75,125,TIMEOUT,11,52719285,26035312,11.98,1800.000058
rand_d0.1_m75_n125_s371.txt,0.1,75,125,OPTIMAL,11,51488749,24886427,11.98,1618.945174
rand_d0.1_m75_n125_s372.txt,0.1,75,125,OPTIMAL,11,20851897,10150281,11.98,763.651024
rand_d0.1_m75_n125_s373.txt,0.1,75,125,OPTIMAL,10,40294843,19908633,11.98,1474.192731
rand_d0.1_m75_n125_s374.txt,0.1,75,125,TIMEOUT,12,58419658,28337405,11.98,1800.000057
rand_d0.1_m75_n125_s375.txt,0.1,75,125,TIMEOUT,11,58012371,28249324,11.98,1800.000062
rand_d0.1_m75_n125_s376.txt,0.1,75,125,OPTIMAL,11,36628763,18056955,11.98,1489.845039
rand_d0.1_m75_n125_s377.txt,0.1,75,125,OPTIMAL,11,9975736,4949559,11.98,439.271437
rand_d0.1_m75_n125_s378.txt,0.1,75,125,TIMEOUT,11,48976840,24140672,11.98,1800.000077
rand_d0.1_m75_n125_s379.txt,0.1,75,125,OPTIMAL,11,38004594,18712926,11.98,1359.871969
rand_d0.1_m75_n25_s300.txt,0.1,75,25,OPTIMAL,16,169,85,11.98,0.002742
rand_d0.1_m75_n25_s301.txt,0.1,75,25,OPTIMAL,16,164,81,11.98,0.002486
rand_d0.1_m75_n25_s302.txt,0.1,75,25,OPTIMAL,16,118,58,11.98,0.001875
rand_d0.1_m75_n25_s303.txt,0.1,75,25,OPTIMAL,16,93,42,11.98,0.001061
rand_d0.1_m75_n25_s304.txt,0.1,75,25,OPTIMAL,15,139,65,11.98,0.001695
rand_d0.1_m75_n25_s305.txt,0.1,75,25,OPTIMAL,18,99,50,11.98,0.001721
rand_d0.1_m75_n25_s306.txt,0.1,75,25,OPTIMAL,17,117,54,11.98,0.00153
rand_d0.1_m75_n25_s307.txt,0.1,75,25,OPTIMAL,17,137,63,11.98,0.002095
rand_d0.1_m75_n25_s308.txt,0.1,75,25,OPTIMAL,18,203,97,11.98,0.002549
rand_d0.1_m75_n25_s309.txt,0.1,75,25,OPTIMAL,13,77,33,11.98,0.001396
rand_d0.1_m75_n25_s310.txt,0.1,75,25,OPTIMAL,16,128,60,11.98,0.002635
rand_d0.1_m75_n25_s311.txt,0.1,75,25,OPTIMAL,16,43,18,11.98,0.000823
rand_d0.1_m75_n25_s312.txt,0.1,75,25,OPTIMAL,18,63,32,11.98,0.001536
rand_d0.1_m75_n25_s313.txt,0.1,75,25,OPTIMAL,15,31,16,11.98,0.000793
rand_d0.1_m75_n25_s314.txt,0.1,75,25,OPTIMAL,16,52,25,11.98,0.001432
rand_d0.1_m75_n25_s315.txt,0.1,75,25,OPTIMAL,15,43,20,11.98,0.000878
rand_d0.1_m75_n25_s316.txt,0.1,75,25,OPTIMAL,18,80,36,11.98,0.001297
rand_d0.1_m75_n25_s317.txt,0.1,75,25,OPTIMAL,17,111,54,11.98,0.002613
rand_d0.1_m75_n25_s318.txt,0.1,75,25,OPTIMAL,17,173,84,11.98,0.003421
rand_d0.1_m75_n25_s319.txt,0.1,75,25,OPTIMAL,17,263,129,11.98,0.004689
rand_d0.1_m75_n50_s320.txt,0.1,75,50,OPTIMAL,14,3929,1896,11.98,0.1011
rand_d0.1_m75_n50_s321.txt,0.1,75,50,OPTIMAL,14,23878,11253,11.98,0.471024
rand_d0.1_m75_n50_s322.txt,0.1,75,50,OPTIMAL,14,5010,2472,11.98,0.12696
rand_d0.1_m75_n50_s323.txt,0.1,75,50,OPTIMAL,14,25158,12376,11.98,0.640321
rand_d0.1_m75_n50_s324.txt,0.1,75,50,OPTIMAL,14,51800,25395,11.98,1.197019
rand_d0.1_m75_n50_s325.txt,0.1,75,50,OPTIMAL,13,18533,8913,11.98,0.487534
rand_d0.1_m75_n50_s326.txt,0.1,75,50,OPTIMAL,14,3175,1534,11.98,0.097998
rand_d0.1_m75_n50_s327.txt,0.1,75,50,OPTIMAL,13,18796,9229,11.98,0.508743
rand_d0.1_m75_n50_s328.txt,0.1,75,50,OPTIMAL,14,22287,10763,11.98,0.597802
rand_d0.1_m75_n50_s329.txt,0.1,75,50,OPTIMAL,16,237367,113990,11.98,5.497126
rand_d0.1_m75_n50_s330.txt,0.1,75,50,OPTIMAL,13,1466,696,11.98,0.024275
rand_d0.1_m75_n50_s331.txt,0.1,75,50,OPTIMAL,13,20698,10149,11.98,0.378545
rand_d0.1_m75_n50_s332.txt,0.1,75,50,OPTIMAL,13,17036,8302,11.98,0.389038
rand_d0.1_m75_n50_s333.txt,0.1,75,50,OPTIMAL,13,34412,16696,11.98,0.783766
rand_d0.1_m75_n50_s334.txt,0.1,75,50,OPTIMAL,14,19648,9679,11.98,0.470932
rand_d0.1_m75_n50_s335.txt,0.1,75,50,OPTIMAL,14,20320,10043,11.98,0.561287
rand_d0.1_m75_n50_s336.txt,0.1,75,50,OPTIMAL,15,9709,4825,11.98,0.261505
rand_d0.1_m75_n50_s337.txt,0.1,75,50,OPTIMAL,16,3026,1400,11.98,0.059911
rand_d0.1_m75_n50_s338.txt,0.1,75,50,OPTIMAL,15,9489,4649,11.98,0.24711
rand_d0.1_m75_n50_s339.txt,0.1,75,50,OPTIMAL,14,4086,1935,11.98,0.106336
rand_d0.1_m75_n75_s40.txt,0.1,75,75,OPTIMAL,13,219241,106489,11.98,7.703139
rand_d0.1_m75_n75_s41.txt,0.1,75,75,OPTIMAL,11,98737,48860,11.98,2.719666
rand_d0.1_m75_n75_s42.txt,0.1,75,75,OPTIMAL,13,2200662,1066564,11.98,64.287993
rand_d0.1_m75_n75_s43.txt,0.1,75,75,OPTIMAL,12,59519,28082,11.98,1.550343
rand_d0.1_m75_n75_s44.txt,0.1,75,75,OPTIMAL,12,1278396,632185,11.98,38.428788
rand_d0.1_m75_n75_s45.txt,0.1,75,75,OPTIMAL,12,56877,28149,11.98,1.768917
rand_d0.1_m75_n75_s46.txt,0.1,75,75,OPTIMAL,13,1231017,612143,11.98,42.430809
rand_d0.1_m75_n75_s47.txt,0.1,75,75,OPTIMAL,13,61795,30062,11.98,2.322383
rand_d0.1_m75_n75_s48.txt,0.1,75,75,OPTIMAL,13,549607,233738,11.98,11.961989
rand_d0.1_m75_n75_s49.txt,0.1,75,75,OPTIMAL,13,1756057,864052,11.98,52.655898
