arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.3_m100_n75_s167.txt,0.3,100,75,OPTIMAL,6,2743974,2090583,5214.76,46.548636
rand_d0.3_m100_n75_s168.txt,0.3,100,75,OPTIMAL,6,1162921,1160923,5214.76,17.276129
rand_d0.3_m100_n75_s169.txt,0.3,100,75,OPTIMAL,6,746872,746195,5214.76,12.126991
rand_d0.3_m100_n75_s170.txt,0.3,100,75,OPTIMAL,6,627836,627079,5214.76,10.528486
rand_d0.3_m100_n75_s171.txt,0.3,100,75,OPTIMAL,6,763348,762714,5214.76,11.842881
rand_d0.3_m100_n75_s172.txt,0.3,100,75,OPTIMAL,6,1825509,1030206,5214.76,32.878173
rand_d0.3_m100_n75_s173.txt,0.3,100,75,OPTIMAL,6,1114028,1112289,5214.76,16.598708
rand_d0.3_m100_n75_s174.txt,0.3,100,75,OPTIMAL,6,1967791,1184324,5214.76,35.366456
rand_d0.3_m100_n75_s175.txt,0.3,100,75,OPTIMAL,6,1346355,738782,5214.76,24.28272
rand_d0.3_m100_n75_s176.txt,0.3,100,75,OPTIMAL,5,321038,250344,5214.76,5.217882
rand_d0.3_m100_n75_s177.txt,0.3,100,75,OPTIMAL,6,831175,830594,5214.76,12.981205
rand_d0.3_m100_n75_s178.txt,0.3,100,75,OPTIMAL,6,1191612,1190546,5214.76,18.3339
rand_d0.3_m100_n75_s179.txt,0.3,100,75,OPTIMAL,5,225911,192282,5214.76,4.154754
rand_d0.3_m125_n75_s180.txt,0.3,125,75,OPTIMAL,6,770955,770886,5214.76,12.508727
rand_d0.3_m125_n75_s181.txt,0.3,125,75,OPTIMAL,6,1087528,1087395,5214.76,16.542302
rand_d0.3_m125_n75_s182.txt,0.3,125,75,OPTIMAL,6,1187727,1187498,5214.76,18.243321
rand_d0.3_m125_n75_s183.txt,0.3,125,75,OPTIMAL,6,738767,738653,5214.76,12.30846
rand_d0.3_m125_n75_s184.txt,0.3,125,75,OPTIMAL,6,801849,801764,5214.76,13.252936
rand_d0.3_m125_n75_s185.txt,0.3,125,75,OPTIMAL,6,881682,881381,5214.76,14.078254
rand_d0.3_m125_n75_s186.txt,0.3,125,75,OPTIMAL,6,2541763,2010121,5214.76,46.551456
rand_d0.3_m125_n75_s187.txt,0.3,125,75,OPTIMAL,6,3169960,3137632,5214.76,57.904917
rand_d0.3_m125_n75_s188.txt,0.3,125,75,OPTIMAL,6,809119,808987,5214.76,12.946704
rand_d0.3_m125_n75_s189.txt,0.3,125,75,OPTIMAL,6,4265125,4201322,5214.76,75.454729
rand_d0.3_m125_n75_s190.txt,0.3,125,75,OPTIMAL,6,1062451,1062244,5214.76,16.367946
rand_d0.3_m125_n75_s191.txt,0.3,125,75,OPTIMAL,6,843881,479356,5214.76,17.091161
rand_d0.3_m125_n75_s192.txt,0.3,125,75,OPTIMAL,7,7700004,7681656,5214.76,126.968356
rand_d0.3_m125_n75_s193.txt,0.3,125,75,OPTIMAL,7,5945874,5929139,5214.76,101.729858
rand_d0.3_m125_n75_s194.txt,0.3,125,75,OPTIMAL,6,2318674,1805771,5214.76,41.448681
rand_d0.3_m125_n75_s195.txt,0.3,125,75,OPTIMAL,6,2016125,1418042,5214.76,35.274812
rand_d0.3_m125_n75_s196.txt,0.3,125,75,OPTIMAL,6,2221437,1734702,5214.76,38.353668
rand_d0.3_m125_n75_s197.txt,0.3,125,75,OPTIMAL,6,1849810,1046762,5214.76,34.561552
rand_d0.3_m125_n75_s198.txt,0.3,125,75,OPTIMAL,6,696517,696320,5214.76,11.159222
rand_d0.3_m125_n75_s199.txt,0.3,125,75,OPTIMAL,6,2482482,1883332,5214.76,43.97252
rand_d0.3_m25_n75_s100.txt,0.3,25,75,OPTIMAL,4,6121,6050,5214.76,0.078267
rand_d0.3_m25_n75_s101.txt,0.3,25,75,OPTIMAL,4,5721,5668,5214.76,0.076529
rand_d0.3_m25_n75_s102.txt,0.3,25,75,OPTIMAL,4,3388,3346,5214.76,0.048734
rand_d0.3_m25_n75_s103.txt,0.3,25,75,OPTIMAL,4,5020,4893,5214.76,0.080323
rand_d0.3_m25_n75_s104.txt,0.3,25,75,OPTIMAL,4,10144,10049,5214.76,0.13934
rand_d0.3_m25_n75_s105.txt,0.3,25,75,OPTIMAL,3,805,806,5214.76,0.012956
rand_d0.3_m25_n75_s106.txt,0.3,25,75,OPTIMAL,3,1625,1297,5214.76,0.029329
rand_d0.3_m25_n75_s107.txt,0.3,25,75,OPTIMAL,4,4275,4238,5214.76,0.064909
rand_d0.3_m25_n75_s108.txt,0.3,25,75,OPTIMAL,4,7254,7152,5214.76,0.106166
rand_d0.3_m25_n75_s109.txt,0.3,25,75,OPTIMAL,3,5913,5610,5214.76,0.078014
rand_d0.3_m25_n75_s110.txt,0.3,25,75,OPTIMAL,3,2768,2533,5214.76,0.039187
rand_d0.3_m25_n75_s111.txt,0.3,25,75,OPTIMAL,3,8429,8285,5214.76,0.110745
rand_d0.3_m25_n75_s112.txt,0.3,25,75,OPTIMAL,4,4928,4858,5214.76,0.070345
rand_d0.3_m25_n75_s113.txt,0.3,25,75,OPTIMAL,3,379,380,5214.76,0.005653
rand_d0.3_m25_n75_s114.txt,0.3,25,75,OPTIMAL,4,7115,6968,5214.76,0.097991
rand_d0.3_m25_n75_s115.txt,0.3,25,75,OPTIMAL,4,5787,5666,5214.76,0.082293
rand_d0.3_m25_n75_s116.txt,0.3,25,75,OPTIMAL,3,901,576,5214.76,0.01671
rand_d0.3_m25_n75_s117.txt,0.3,25,75,OPTIMAL,4,9331,9249,5214.76,0.122242
rand_d0.3_m25_n75_s118.txt,0.3,25,75,OPTIMAL,3,4375,3738,5214.76,0.064475
rand_d0.3_m25_n75_s119.txt,0.3,25,75,OPTIMAL,4,7534,7356,5214.76,0.095221
rand_d0.3_m50_n75_s120.txt,0.3,50,75,OPTIMAL,4,17935,10807,5214.76,0.314052
rand_d0.3_m50_n75_s121.txt,0.3,50,75,OPTIMAL,4,51135,45489,5214.76,0.847926
rand_d0.3_m50_n75_s122.txt,0.3,50,75,OPTIMAL,4,11520,6582,5214.76,0.218725
rand_d0.3_m50_n75_s123.txt,0.3,50,75,OPTIMAL,4,39599,34230,5214.76,0.664515
rand_d0.3_m50_n75_s124.txt,0.3,50,75,OPTIMAL,4,7269,7270,5214.76,0.130449
rand_d0.3_m50_n75_s125.txt,0.3,50,75,OPTIMAL,5,151914,150892,5214.76,2.147073
rand_d0.3_m50_n75_s126.txt,0.3,50,75,OPTIMAL,4,7523,7524,5214.76,0.125737
rand_d0.3_m50_n75_s127.txt,0.3,50,75,OPTIMAL,4,38233,31301,5214.76,0.620954
rand_d0.3_m50_n75_s128.txt,0.3,50,75,OPTIMAL,4,43216,36667,5214.76,0.69461
rand_d0.3_m50_n75_s129.txt,0.3,50,75,OPTIMAL,4,76962,75917,5214.76,1.19647
rand_d0.3_m50_n75_s130.txt,0.3,50,75,OPTIMAL,5,105559,104615,5214.76,1.613929
rand_d0.3_m50_n75_s131.txt,0.3,50,75,OPTIMAL,5,99784,99328,5214.76,1.617505
rand_d0.3_m50_n75_s132.txt,0.3,50,75,OPTIMAL,5,42624,42412,5214.76,0.740891
